Name	Set	Imagefile	Type	Class	Race	Skills	HomeSite	Mind	Influence	GI	Prowess	Body	Strikes	Playable	MP	SP	Magic	Specific	Corruption	Region	SitePath	Draw	OpponentDraw	Rarity	Text
Pirates	LidlessEye	Pirates	Hazard	Creature	Men						7	-	3	{w}{c}{R}	1									R	Men. Three strikes. If any strike of Pirates wounds a character, the company must immediately discard one item (of defender's choice). Pirates receives +2 prowess when keyed to Coastal Seas [{c}].
Plague	LidlessEye	Plague	Hazard	Permanent-event																				R	Disease. Playable on a non-Ringwraith, non-Wizard, non-Elf character at or moving to a non-Haven, non-Ruins & Lairs site. At the end of your opponent's turn, each non-Ringwraith, non-Wizard, non-Elf character at the same site as the target must make a roll (d
Plague of Wights	LidlessEye	PlagueofWights	Hazard	Long-event																				U	The prowess of all Undead attacks is increased by one. Additionally, if Doors of Night is in play, the number of strikes for each Undead attack is doubled. Cannot be duplicated.
Rats!	LidlessEye	Rats	Hazard	Short-event																				U	Playable on a company containing at least one minor item that is at or moving to a Ruins & Lairs [{R}], Shadow-hold [{S}], or Dark-hold [{D}]. Company discards one minor item of its choice or chooses one of its characters to become wounded (no body c
Rebel-talk	LidlessEye	Rebeltalk	Hazard	Permanent-event																				CB+CS1	Playable on a non-Ringwraith, non-Wizard character with mind of 7 or less. Character cannot be controlled by direct influence. Once during each of his organization phases, the character may attempt to remove this card by making a roll (drawing a #) -
River *	LidlessEye	River2	Hazard	Short-event																				CB+CS1	Playable on a site. If a company that has moved to this site this turn does not tap a ranger, it must do nothing during its site phase. {cyan} UEP: Tapping a single ranger to meet the requirements of River also meets the requirements of any other Riv
Searching Eye *	LidlessEye	SearchingEye2	Hazard	Short-event																				CB+CS1	Cancel and discard any card requiring scout skill before it is resolved or cancel any ongoing effect of a card that required scout skill to play. If this card is played as an on- guard card, it can be revealed during the opponent's site phase to canc
Sellswords Between Charters	LidlessEye	SellswordsBetweenCharters	Hazard	Creature	Men						11	-	2	{B}{S}	1									CB+CS2	Men. Two strikes.
Shut Yer Mouth	LidlessEye	ShutYerMouth	Hazard	Permanent-event																				U	Playable on a non-Wizard, non-Ringwraith character. -2 to character's direct influence (to a minimum of zero). Once during each of his organization phases, the character may attempt to remove this card by making a roll (drawing a #) - if the result i
Slayer *	LidlessEye	Slayer2	Hazard	Creature	Slayer						11	-	1	{b}{B}	2									CB+CS1	Slayer. Two attacks (of one strike each) against the same character. Attacker chooses defending character. The defender may tap any one character in the company to cancel one of these attacks.
So You've Come Back	LidlessEye	SoYouveComeBack	Hazard	Permanent-event																				U	Playable on a character of 5 mind or less. The mind of each other non-follower, non-Ringwraith, non-Wizard character in his company increases by one. Discard this card during the organization phase if target character is in a company by himself and a
Something Has Slipped	LidlessEye	SomethingHasSlipped	Hazard	Permanent-event																				R	Playable on a company. If a character in the company becomes wounded, the prowess of each character in the company is modified by -2 for the rest of the turn. Discard this card during its organization phase if the company is at a Darkhaven. Cannot be
Sons of Kings	LidlessEye	SonsofKings	Hazard	Creature	Dunedain						10	-	3	{f}{b}{B}{F}	2*									CB+CS2	Dunedain. Three strikes (playable only against minion companies).
Stay Her Appetite	LidlessEye	StayHerAppetite	Hazard	Short-event																				R	Playable on an ally. Make a roll (draw a #). If the result plus the ally's mind is greater than your opponent's unused general influence plus its controlling character's unused direct influence plus five, the ally attacks its controlling character (d
Stench of Mordor	LidlessEye	StenchofMordor	Hazard	Permanent-event																				U	Environment. At the start of its site phase, each company at a site in a Dark-domain [{d}] (or Shadow-land [{s}], if Doors of Night is in play) must tap one untapped character if available. Discard when any play deck is exhausted. Cannot be duplicate
Stirring Bones *	LidlessEye	StirringBones2	Hazard	Creature	Undead						9	-	2	{w}{w}{s}{d}{R}{S}	1									CB+CS2	Undead. Two strikes.
The Border-watch	LidlessEye	TheBorderwatch	Hazard	Creature	Men						7	-	5	{f}{b}{F}{B}	1*									CB+CS2	Men. Five strikes (two strikes and detainment against hero companies).
The Ring Will Have But One Master	LidlessEye	TheRingWillHaveButOneMaster	Hazard	Permanent-event																				R	Playable on the bearer of The One Ring. During each of his organization phases, one character (other than the bearer) in bearer's company is discarded (of bearer's player's choice) along with all cards played with him. During his organization phase, 
The Roving Eye	LidlessEye	TheRovingEye	Hazard	Short-event																				R	Playable on a non-Wizard, non-Ringwraith character bearing a Palantir, greater item, or ring that is not a gold ring. Target character is forced to make corruption check modified by -2. If the character would normally be eliminated as a result of thi
Thranduil's Folk	LidlessEye	ThranduilsFolk	Hazard	Creature	Elves						10	6	1/each		2*									R	Elves. Each character in the company faces one strike (detainment against covert and hero companies). May be played keyed to Woodland Realm, Western Mirkwood, Heart of Mirkwood, Northern Rhovanion, and Grey Mountain Narrows; and may also be played at
Thrice Outnumbered	LidlessEye	ThriceOutnumbered	Hazard	Permanent-event																				U	Each player may take one Man hazard creature from his discard pile and shuffle it into his play deck at the end of each turn. Discard this card or a Man hazard creature from your hand at the end of opponent's long-event phase. Discard when any play d
Thunder's Companion *	LidlessEye	ThundersCompanion2	Hazard	Creature	Giants						9	-	3	{w}{w}	1									CB+CS1	Giants. Three strikes.
Tidings of Bold Spies	LidlessEye	TidingsofBoldSpies	Hazard	Short-event																				CB+CS2	Playable on a company moving to a site with an automatic-attack. This card creates one or more attacks on the company, the total of which duplicates exactly (including modifications) all automatic-attacks at the site. These attacks must be faced imme
Tidings of Doubt and Danger	LidlessEye	TidingsofDoubtandDanger	Hazard	Permanent-event																				U	The direct influence of each Ringwraith is lowered by 2 (by 3 if Doors of Night is in play). Discard when any play deck is exhausted. Cannot be duplicated.
True Fire-drake *	LidlessEye	TrueFiredrake2	Hazard	Creature	Drake						13	-	2	{w}{w}{w}	1									CB+CS1	Drake. Two strikes. Only two Wildernesses [{w}] in site path are required if Doors of Night is in play.
Twilight *	LidlessEye	Twilight2	Hazard	Short-event																				CB+CS1	Environment. One environment card (in play or declared earlier in the same chain of effects) is canceled and discarded. Twilight may also be played as a resource, and may be played at any point during any player's turn.
Uruk-lieutenant	LidlessEye	Uruklieutenant	Hazard	Creature	Orcs						9	-	1	{w}{s}{R}{S}	1									R	Orcs. One strike. If played on a company that has already faced an Orc attack this turn, Uruk-lieutenant receives +3 prowess. Orc-lieutenant receives an additional +3 prowess if played on a company that has already faced Uruk-lieutenant this turn.
Veils Flung Away	LidlessEye	VeilsFlungAway	Hazard	Short-event																				U	Playable on a company moving in a Wilderness [{w}], Borlder-land [{b}], or Free-domain [{f}] if Doors of Night is not in play; does not count against the hazard limit. Make a body check  modified by -1 for each character. Determine if each Orc or Tro
Waiting Shadow	LidlessEye	WaitingShadow	Hazard	Short-event																				R	Environment. Playable on a company with an untapped Orc, Troll, or Man character. Tap an Orc, Troll, or Man character in that company (defender's choice). If Doors of Night is in play, the company need not contain an Orc, Troll, or Man and any one ch
Wake of War *	LidlessEye	WakeofWar2	Hazard	Long-event																				CB+CS1	The number of strikes and prowess of each Wolf, Spider, and Animal attack are each increased by one (by two for Wolf attacks if Doors of Night is in play). Cannot be duplicated.
Wandering Eldar	LidlessEye	WanderingEldar	Hazard	Creature	Elves						9	-	1/each	{w}{w}{b}	1*									R	Elves. Each character in the company faces one strike (detainment against covert and hero companies). If Doors of Night is not in play, may also be played keyed to Free- domains.
Wargs *	LidlessEye	Wargs2	Hazard	Creature	Wolves						9	-	2	{b}{w}{s}	1									CB+CS2	Wolves. Two strikes.
Watcher in the Water *	LidlessEye	WatcherintheWater2	Hazard	Creature	Animals						8	-	1/each	{w}{w}{c}	1									U	Animal. Each character in the company faces one strike. May also be played at Moria.
Weariness of the Heart *	LidlessEye	WearinessoftheHeart2	Hazard	Short-event																				CB+CS1	Playable on a character. The prowess of target character is modified by -1 until the end of the turn. This use cannot be duplicated on a given character. Alternatively, target character makes a corruption check.
Webs of Fear & Treachery	LidlessEye	WebsofFearTreachery	Hazard	Long-event																				R	Except for unused general influence and unused normal direct influence (including influence modifications given in a character's card text), all modifications to each influence attempt are reduced to zero.
Wild Trolls	LidlessEye	WildTrolls	Hazard	Creature	Trolls						10	-	2	{w}{w}{R}	1									CB+CS1	Trolls. Two strikes.
Wrath of the West	LidlessEye	WrathoftheWest	Hazard	Short-event																				U	Playable on a minion resource short-event declared earlier in the same chain of effects. Make a roll (draw a #) - if the result is greater than 6, the event is cancelled and discarded.
Adunaphel the Ringwraith	LidlessEye	AdunapheltheRingwraith	Minion Character		Ringwraith	Warrior/Scout/Diplomat	Urlurtsu Nurn		4		8	10												F1	Unique. Manifestation of Adunaphel. Can use spirit-magic. +2 direct influence in Heralded Lord mode. -2 prowess in Fell Rider mode. As your Ringwraith, if at a Darkhaven, she may tap to cancel one hazard creature attack not played at a site against a
Akhorahil the Ringwraith	LidlessEye	AkhorahiltheRingwraith	Minion Character		Ringwraith	Sage	Any site in Nurn		3		8	9												F1	Unique. Manifestation of Akhorahil. Can use sorcery, spirit-magic, and shadow-magic. +3 direct influence in Heralded Lord mode. +1 prowess in Fell Rider mode. As your Ringwraith, when he uses a magic card, return it to the play deck and reshuffle.
Asternak	LidlessEye	Asternak	Minion Character		Man	Warrior/Diplomat	Variag Camp	5	2		5	7			2									F1	Unique. +2 direct influence against any faction playable at Variag Camp.
Belegorn	LidlessEye	Belegorn	Minion Character		Dunadan	Sage/Diplomat	Carn Dum	5	2		3	7			2									U	Unique. Can use spirit-magic.
Broin	LidlessEye	Broin	Minion Character		Dwarf	Warrior/Scout	Moria	3	0		3	8			1									R	Unique. Firebeard. +1 prowess against Orcs and Elves.
Calendal	LidlessEye	Calendal	Minion Character		Elf	Scout/Sage	Dol Guldur	6	1		4	8			2									R	Unique. Noldo. May tap to use a Palantir he bears. +2 direct influence against Elves and Elf factions.
Carambor	LidlessEye	Carambor	Minion Character		Elf	Warrior/Scout/Ranger	Carn Dum	6	0		5	8			2									R	Unique. Silvan. May tap at the end of his company's movement/hazard phase to allow it to move to an additional site on the same turn. Another site card may be played and another movement/hazard phase immediately follows for his company. The new site path mus
Ciryaher	LidlessEye	Ciryaher	Minion Character		Dunadan	Scout/Sage	Barad-dur	5	2		2	7			2									U	Unique. Can use shadow-magic.
Dogrib	LidlessEye	Dogrib	Minion Character		Man	Warrior	Lossadan Camp	2	0		4	7			0									U	Unique. -1 to all corruption checks.
Dorelas	LidlessEye	Dorelas	Minion Character		Man	Warrior/Sage	Lond Galen	3	1		2	7			1									U	Unique.
Dunlending Spy	LidlessEye	DunlendingSpy	Minion Character		Man	Scout	Bree	1	0		2	8			0									U	Unique.
Dwar the Ringwraith	LidlessEye	DwartheRingwraith	Minion Character		Ringwraith	Warrior/Scout/Sage	Any site in Udun		5		9	10												F1	Unique. Manifestation of Dwar of Waw. Can use sorcery. -3 direct influence in Heralded Lord mode. -1 prowess in Fell Rider mode. As your Ringwraith, if at a Darkhaven, he may tap to give +1 prowess and +1 body to all characters in any one of your com
Eradan	LidlessEye	Eradan	Minion Character		Dunadan	Scout/Ranger	Sarn Goriwing	4	1		4	8			1									U	Unique.
Gorbag	LidlessEye	Gorbag	Minion Character		Orc	Warrior/Scout	Minas Morgul	6	0		6	9			2									F1	Unique. Uruk-hai. Leader. Discard on a body check result of 9. +3 direct influence against Orcs and Orc factions.
Grishnakh	LidlessEye	Grishnakh	Minion Character		Orc	Warrior/Scout	Any site in Imlad Morgul	3	0		4	8			1									F1	Unique. Uruk-hai. Discard on a body check result of 8.
Gulla	LidlessEye	Gulla	Minion Character		Dwarf	Warrior/Ranger	Carn Dum	4	0		5	8			1									R	Unique. Ironfist. +1 prowess against Orcs and Elves.
Hador	LidlessEye	Hador	Minion Character		Dunadan	Warrior/Sage	Dol Guldur	6	1		5	9			2									U	Unique. Can use sorcery.
Hendolen	LidlessEye	Hendolen	Minion Character		Elf	Sage/Diplomat	Minas Morgul	6	2		3	7			2									R	Unique. Silvan. May tap to cancel a detainment attack against his company. +2 direct influence against Elves and Elf factions.
Hoarmurath the Ringwraith	LidlessEye	HoarmuraththeRingwraith	Minion Character		Ringwraith	Scout/Ranger/Sage	Any site in Udun		3		8	9												F1	Unique. Manifestation of Hoarmurath of Dir. can use sorcery. +1 direct influence in Heralded Lord mode. +2 prowess in Fell Rider mode. As your Ringwraith, if at a Darkhaven, you may keep one more card than normal in your hand.
Horseman in the Night	LidlessEye	HorsemanintheNight	Minion Character		Man	Warrior/Diplomat	Any Dark-hold	4	2		3	7			1									CB+CS1	+1 direct influence against any faction.
Indur the Ringwraith	LidlessEye	IndurtheRingwraith	Minion Character		Ringwraith	Warrior/Diplomat	Any site in Udun or Imlad Morgul		5		9	10												F1	Unique. Manifestation of Indur Dawndeath. Can use sorcery and spirit-magic. -1 direct influence in Heralded Lord mode. -3 prowess in Fell Rider mode. As your Ringwraith, at the beginning of each of his end-of-turn phases, he may tap to take a magic c
Jerrek	LidlessEye	Jerrek	Minion Character		Man	Warrior/Scout	Southron Oasis	4	0		5	8			1									F1	Unique. +1 direct influence against any faction playable at Southron Oasis.
Khamul the Ringwraith	LidlessEye	KhamultheRingwraith	Minion Character		Ringwraith	Warrior/Ranger/Diplomat	Dol Guldur		4		9	9												F1	Unique. Manifestation of Khamul the Easterling. Can use sorcery. -2 direct influence in Heralded Lord mode. +1 prowess in Fell Rider mode. -2 to the body of any Elf character targeted by a strike from Khamul. As your Ringwraith, one Ringwraith follow
Lagduf	LidlessEye	Lagduf	Minion Character		Orc	Warrior	Any site in Imlad Morgul	3	0		5	8			1									U	Unique. Uruk-hai. Discard on a body check result of 8.
Layos	LidlessEye	Layos	Minion Character		Man	Sage/Diplomat	Shrel-Kain	5	2		3	8			2									F1	Unique. +2 direct influence against the Men of Dorwinion faction.
Lieutenant of Angmar	LidlessEye	LieutenantofAngmar	Minion Character		Troll	Warrior/Scout	Carn Dum	9	1		8	9			3									R	Unique. Olog-hai. Leader. Manifestation of Rogrog. Discard on a body check result of 9. +4 direct influence against Trolls, Orcs, Troll factions, and Orc factions. When he is at Carn Dum, you may keep one more card than normal in your hand.
Lieutenant of Dol Guldur	LidlessEye	LieutenantofDolGuldur	Minion Character		Troll	Warrior/Sage	Dol Guldur	9	3		7	9			3									R	Unique. Olog-hai. Leader. Manifestation of Gorfaur the Lame. Discard on a body check result of 9. +2 direct influence against Trolls, Orcs, Troll factions, and Orc factions. When he is at Dol Guldur, you may keep one more card than normal in your han
Lieutenant of Morgul	LidlessEye	LieutenantofMorgul	Minion Character		Troll	Warrior/Ranger	Minas Morgul	9	2		8	9			3									R	Unique. Half-troll. Leader. Manifestation of Gothmog. Discard on a body check result of 9. +3 direct influence against Trolls, Orcs, Troll factions, and Orc factions. When he is at Minas Morgul, you may keep one more card than normal in your hand.
Luitprand	LidlessEye	Luitprand	Minion Character		Man	Scout	Lake-town	1	0		3	7			0									F1	Unique.
Muzgash	LidlessEye	Muzgash	Minion Character		Orc	Warrior	Any site in Imlad Morgul	2	0		4	8			0									F1	Unique. Uruk-hai. Discard on a body check result of 8.
Nain	LidlessEye	Nain	Minion Character		Dwarf	Warrior/Sage	Dol Guldur	3	1		3	7			1									R	Unique. Firebeard. +1 direct influence against Dwarves and Dwarf factions. +1 prowess against Orcs and Elves.
Nevido Smod	LidlessEye	NevidoSmod	Minion Character		Man	Warrior/Ranger	Easterling Camp	4	1		4	8			1									F1	Unique. +2 direct influence against any faction playable at Easterling Camp.
